"ensembl_gene_id","hgnc_symbol","percentage_gene_gc_content","gene_biotype","chromosome_name","gene_length"
"ENSG00000116213","WRAP73",55.25,"protein_coding","1",11780
"ENSG00000116237","ICMT",49.59,"protein_coding","1",8528
"ENSG00000116251","RPL22",50.8,"protein_coding","1",6585
"ENSG00000116254","CHD5",56.75,"protein_coding","1",15320
"ENSG00000116273","PHF13",54.94,"protein_coding","1",4430
"ENSG00000116285","ERRFI1",42.8,"protein_coding","1",6722
"ENSG00000116288","PARK7",45.41,"protein_coding","1",4925
"ENSG00000116329","OPRD1",50.14,"protein_coding","1",10184
"ENSG00000116350","SRSF4",42.93,"protein_coding","1",14236
"ENSG00000116649","SRM",59.85,"protein_coding","1",3679
"ENSG00000116661","FBXO2",55.46,"protein_coding","1",5307
"ENSG00000116663","FBXO6",55.13,"protein_coding","1",2912
"ENSG00000116670","MAD2L2",53.91,"protein_coding","1",5716
"ENSG00000116685","KIAA2013",55.79,"protein_coding","1",6674
"ENSG00000116688","MFN2",51.12,"protein_coding","1",7955
"ENSG00000116691","MIIP",55.62,"protein_coding","1",7042
"ENSG00000116721","PRAMEF1",46.46,"protein_coding","1",3487
"ENSG00000116726","PRAMEF12",53.23,"protein_coding","1",1786
"ENSG00000116731","PRDM2",43.44,"protein_coding","1",18773
"ENSG00000116771","AGMAT",49.29,"protein_coding","1",3095
"ENSG00000116786","PLEKHM2",52.01,"protein_coding","1",6688
"ENSG00000116809","ZBTB17",51.22,"protein_coding","1",10978
"ENSG00000117115","PADI2",51.75,"protein_coding","1",10688
"ENSG00000117118","SDHB",43.42,"protein_coding","1",4022
"ENSG00000117122","MFAP2",62.13,"protein_coding","1",4828
"ENSG00000117148","ACTL8",48.15,"protein_coding","1",3511
"ENSG00000117154","IGSF21",49.91,"protein_coding","1",4792
"ENSG00000117215","PLA2G2D",50.59,"protein_coding","1",4362
"ENSG00000117242","PINK1-AS",49.29,"lncRNA","1",4443
"ENSG00000117245","KIF17",52.54,"protein_coding","1",8599
"ENSG00000117298","ECE1",52.21,"protein_coding","1",16548
"ENSG00000117305","HMGCL",46.84,"protein_coding","1",9501
"ENSG00000117308","GALE",60.06,"protein_coding","1",10307
"ENSG00000117318","ID3",57.04,"protein_coding","1",2465
"ENSG00000117602","RCAN3",42.26,"protein_coding","1",13729
"ENSG00000117614","SYF2",43.02,"protein_coding","1",4667
"ENSG00000117616","RSRP1",46.4,"protein_coding","1",19959
"ENSG00000117632","STMN1",48.24,"protein_coding","1",9943
"ENSG00000117640","MTFR1L",49.43,"protein_coding","1",15881
"ENSG00000117643","MAN1C1",48.51,"protein_coding","1",16402
"ENSG00000117676","RPS6KA1",53.51,"protein_coding","1",13717
"ENSG00000117682","DHDDS",45.46,"protein_coding","1",15314
"ENSG00000117713","ARID1A",46.19,"protein_coding","1",39501
"ENSG00000117748","RPA2",44.15,"protein_coding","1",3172
"ENSG00000117751","PPP1R8",44.43,"protein_coding","1",7822
"ENSG00000117758","STX12",41.39,"protein_coding","1",4809
"ENSG00000120656","TAF12",47.17,"protein_coding","1",3434
"ENSG00000120937","NPPB",54.59,"protein_coding","1",708
"ENSG00000120942","UBIAD1",48.21,"protein_coding","1",6606
"ENSG00000120948","TARDBP",43.58,"protein_coding","1",20747
"ENSG00000120949","TNFRSF8",50.54,"protein_coding","1",11253
"ENSG00000120952","PRAMEF2",47.2,"protein_coding","1",1642
"ENSG00000125944","HNRNPR",38.85,"protein_coding","1",17312
"ENSG00000125945","ZNF436",46.42,"protein_coding","1",8126
"ENSG00000126698","DNAJC8",43.16,"protein_coding","1",5305
"ENSG00000126705","AHDC1",56.39,"protein_coding","1",14789
"ENSG00000126709","IFI6",50.01,"protein_coding","1",1594
"ENSG00000127054","INTS11",60.46,"protein_coding","1",31845
"ENSG00000127423","AUNIP",42.54,"protein_coding","1",3827
"ENSG00000127463","EMC1",46.61,"protein_coding","1",20649
"ENSG00000127472","PLA2G5",44.56,"protein_coding","1",6912
"ENSG00000127481","UBR4",43.74,"protein_coding","1",35726
"ENSG00000127483","HP1BP3",40.94,"protein_coding","1",17943
"ENSG00000130695","CEP85",44.68,"protein_coding","1",11871
"ENSG00000130762","ARHGEF16",62.91,"protein_coding","1",8249
"ENSG00000130764","LRRC47",54.7,"protein_coding","1",5119
"ENSG00000130766","SESN2",50.07,"protein_coding","1",3462
"ENSG00000130768","SMPDL3B",49.86,"protein_coding","1",5958
"ENSG00000130770","ATP5IF1",44.37,"protein_coding","1",3312
"ENSG00000130772","MED18",46.05,"protein_coding","1",4235
"ENSG00000130775","THEMIS2",54.04,"protein_coding","1",13180
"ENSG00000130939","UBE4B",44.12,"protein_coding","1",12828
"ENSG00000130940","CASZ1",56.73,"protein_coding","1",16235
"ENSG00000131584","ACAP3",67.29,"protein_coding","1",16622
"ENSG00000131591","C1orf159",54.65,"protein_coding","1",17826
"ENSG00000131686","CA6",48.06,"protein_coding","1",4113
"ENSG00000131697","NPHP4",49.94,"protein_coding","1",25011
"ENSG00000131910","NR0B2",53.56,"protein_coding","1",1165
"ENSG00000131914","LIN28A",46.56,"protein_coding","1",6945
"ENSG00000132879","FBXO44",54.94,"protein_coding","1",8177
"ENSG00000132881","CPLANE2",54.1,"protein_coding","1",1773
"ENSG00000132906","CASP9",48.7,"protein_coding","1",12158
"ENSG00000133216","EPHB2",51.95,"protein_coding","1",15475
"ENSG00000133226","SRRM1",41.76,"protein_coding","1",18396
"ENSG00000142583","SLC2A5",47.92,"protein_coding","1",8187
"ENSG00000142599","RERE",42.21,"protein_coding","1",26944
"ENSG00000142606","MMEL1",54.95,"protein_coding","1",6010
"ENSG00000142609","CFAP74",55.65,"protein_coding","1",16589
"ENSG00000142611","PRDM16",57.58,"protein_coding","1",17877
"ENSG00000142615","CELA2A",48.28,"protein_coding","1",2033
"ENSG00000142619","PADI3",51.48,"protein_coding","1",3189
"ENSG00000142621","FHAD1",47.42,"protein_coding","1",23760
"ENSG00000142623","PADI1",53.3,"protein_coding","1",9720
"ENSG00000142627","EPHA2",57.33,"protein_coding","1",6054
"ENSG00000142632","ARHGEF19",57.34,"protein_coding","1",7271
"ENSG00000142634","EFHD2",56.77,"protein_coding","1",3038
"ENSG00000142655","PEX14",45.03,"protein_coding","1",3266
"ENSG00000142657","PGD",47.54,"protein_coding","1",5464
"ENSG00000142661","MYOM3",52.63,"protein_coding","1",13338
"ENSG00000142669","SH3BGRL3",61.93,"protein_coding","1",1519
"ENSG00000142675","CNKSR1",55.16,"protein_coding","1",9578
"ENSG00000142676","RPL11",46.35,"protein_coding","1",4170
"ENSG00000142677","IL22RA1",48.41,"protein_coding","1",2817
"ENSG00000142684","ZNF593",62.53,"protein_coding","1",1336
"ENSG00000142733","MAP3K6",59.88,"protein_coding","1",12706
"ENSG00000142748","FCN3",54.45,"protein_coding","1",2961
"ENSG00000142751","GPN2",48.73,"protein_coding","1",6712
"ENSG00000142765","SYTL1",58.24,"protein_coding","1",11022
"ENSG00000142784","WDTC1",46.47,"protein_coding","1",14452
"ENSG00000142789","CELA3A",50.62,"protein_coding","1",1759
"ENSG00000142794","NBPF3",43.05,"protein_coding","1",14440
"ENSG00000142798","HSPG2",56.09,"protein_coding","1",25419
"ENSG00000149527","PLCH2",64.61,"protein_coding","1",27347
"ENSG00000157191","NECAP2",49.37,"protein_coding","1",12325
"ENSG00000157330","C1orf158",43.81,"protein_coding","1",4805
"ENSG00000157870","PRXL2B",64.59,"protein_coding","1",18584
"ENSG00000157873","TNFRSF14",64.06,"protein_coding","1",14232
"ENSG00000157881","PANK4",60.7,"protein_coding","1",9440
"ENSG00000157911","PEX10",61.52,"protein_coding","1",10005
"ENSG00000157916","RER1",53.96,"protein_coding","1",10792
"ENSG00000157933","SKI",57.61,"protein_coding","1",7168
"ENSG00000157978","LDLRAP1",54.6,"protein_coding","1",10721
"ENSG00000158006","PAFAH2",45.67,"protein_coding","1",6392
"ENSG00000158008","EXTL1",55.41,"protein_coding","1",5971
"ENSG00000158014","SLC30A2",55.84,"protein_coding","1",4231
"ENSG00000158022","TRIM63",49.92,"protein_coding","1",3135
"ENSG00000158055","GRHL3",51,"protein_coding","1",7155
"ENSG00000158062","UBXN11",53.25,"protein_coding","1",9435
"ENSG00000158109","TPRG1L",52.16,"protein_coding","1",2625
"ENSG00000158156","XKR8",55.02,"protein_coding","1",2494
"ENSG00000158161","EYA3",39.51,"protein_coding","1",14332
"ENSG00000158195","WASF2",44.01,"protein_coding","1",5897
"ENSG00000158246","TENT5B",55.52,"protein_coding","1",2382
"ENSG00000158286","RNF207",57.32,"protein_coding","1",11822
"ENSG00000158292","GPR153",60.53,"protein_coding","1",4198
"ENSG00000158747","NBL1",47.57,"protein_coding","1",7437
"ENSG00000158748","HTR6",53.91,"protein_coding","1",3800
"ENSG00000158786","PLA2G2F",56.01,"protein_coding","1",6852
"ENSG00000158816","VWA5B1",50.36,"protein_coding","1",11434
"ENSG00000158825","CDA",48.46,"protein_coding","1",1571
"ENSG00000158828","PINK1",50.78,"protein_coding","1",8136
"ENSG00000159023","EPB41",41.87,"protein_coding","1",74152
"ENSG00000159189","C1QC",54.67,"protein_coding","1",3042
"ENSG00000159339","PADI4",49.06,"protein_coding","1",3917
"ENSG00000159363","ATP13A2",57.23,"protein_coding","1",11741
"ENSG00000159423","ALDH4A1",55.04,"protein_coding","1",6785
"ENSG00000160049","DFFA",48.53,"protein_coding","1",7382
"ENSG00000160072","ATAD3B",58.83,"protein_coding","1",14808
"ENSG00000160075","SSU72",53.86,"protein_coding","1",8317
"ENSG00000160087","UBE2J2",56.33,"protein_coding","1",14384
"ENSG00000162408","NOL9",47.77,"protein_coding","1",9367
"ENSG00000162413","KLHL21",54.46,"protein_coding","1",13987
"ENSG00000162419","GMEB1",45.96,"protein_coding","1",10478
"ENSG00000162426","SLC45A1",52.36,"protein_coding","1",5889
"ENSG00000162430","SELENON",56.77,"protein_coding","1",8351
"ENSG00000162438","CTRC",51.84,"protein_coding","1",7286
"ENSG00000162441","LZIC",43.89,"protein_coding","1",6998
"ENSG00000162444","RBP7",48.33,"protein_coding","1",1486
"ENSG00000162458","FBLIM1",53.53,"protein_coding","1",10502
"ENSG00000162460","TMEM82",58.77,"protein_coding","1",2140
"ENSG00000162461","SLC25A34",58.97,"protein_coding","1",4143
"ENSG00000162482","AKR7A3",54.24,"protein_coding","1",1215
"ENSG00000162490","DRAXIN",53.41,"protein_coding","1",7365
"ENSG00000162493","PDPN",45.38,"protein_coding","1",10596
"ENSG00000162494","LRRC38",50.14,"protein_coding","1",2168
"ENSG00000162496","DHRS3",51.33,"protein_coding","1",4099
"ENSG00000162542","TMCO4",48.92,"protein_coding","1",8125
"ENSG00000162543","UBXN10",47.2,"protein_coding","1",5562
"ENSG00000162545","CAMK2N1",57.49,"protein_coding","1",3138
"ENSG00000162551","ALPL",51.62,"protein_coding","1",8267
"ENSG00000162552","WNT4",57.71,"protein_coding","1",4894
"ENSG00000162571","TTLL10",54.75,"protein_coding","1",5900
"ENSG00000162572","SCNN1D",65.93,"protein_coding","1",9515
"ENSG00000162576","MXRA8",65.3,"protein_coding","1",10280
"ENSG00000162585","FAAP20",60.96,"protein_coding","1",19999
"ENSG00000162591","MEGF6",62.43,"protein_coding","1",12155
"ENSG00000162592","CCDC27",53.23,"protein_coding","1",6827
"ENSG00000169403","PTAFR",48,"protein_coding","1",5829
"ENSG00000169442","CD52",54.56,"protein_coding","1",1315
"ENSG00000169504","CLIC4",41.66,"protein_coding","1",7562
"ENSG00000169598","DFFB",51.66,"protein_coding","1",11973
"ENSG00000169641","LUZP1",43.28,"protein_coding","1",16071
"ENSG00000169717","ACTRT2",61.66,"protein_coding","1",1437
"ENSG00000169885","CALML6",63.13,"protein_coding","1",3470
"ENSG00000169914","OTUD3",41.39,"protein_coding","1",7249
"ENSG00000169962","TAS1R3",66.64,"protein_coding","1",3475
"ENSG00000169972","PUSL1",66.6,"protein_coding","1",5233
"ENSG00000169991","IFFO2",54.33,"protein_coding","1",6943
"ENSG00000171603","CLSTN1",47.19,"protein_coding","1",13078
"ENSG00000171608","PIK3CD",51.33,"protein_coding","1",8125
"ENSG00000171612","SLC25A33",45.52,"protein_coding","1",3865
"ENSG00000171621","SPSB1",54.29,"protein_coding","1",5531
"ENSG00000171680","PLEKHG5",58.85,"protein_coding","1",15267
"ENSG00000171729","TMEM51",48.41,"protein_coding","1",7394
"ENSG00000171735","CAMTA1",48,"protein_coding","1",16313
"ENSG00000171819","ANGPTL7",46.39,"protein_coding","1",2831
"ENSG00000171824","EXOSC10",46.37,"protein_coding","1",9778
"ENSG00000172746","RPL12P13",51.79,"unprocessed_pseudogene","1",497
"ENSG00000173369","C1QB",51.05,"protein_coding","1",3069
"ENSG00000173372","C1QA",56.54,"protein_coding","1",2665
"ENSG00000173436","MICOS10",45,"protein_coding","1",11559
"ENSG00000173614","NMNAT1",46.13,"protein_coding","1",6655
"ENSG00000173641","HSPB7",61.04,"protein_coding","1",8226
"ENSG00000173662","TAS1R1",52.47,"protein_coding","1",5174
"ENSG00000173673","HES3",65.79,"protein_coding","1",710
"ENSG00000174950","CD164L2",60.25,"protein_coding","1",3065
"ENSG00000175087","PDIK1L",43.08,"protein_coding","1",12576
"ENSG00000175147","TMEM51-AS1",49.51,"lncRNA","1",22978
"ENSG00000175206","NPPA",54.04,"protein_coding","1",1883
"ENSG00000175262","C1orf127",52.15,"protein_coding","1",5906
"ENSG00000175279","CENPS",46.93,"protein_coding","1",3399
"ENSG00000175707","KDF1",51.4,"protein_coding","1",3506
"ENSG00000175756","AURKAIP1",66.87,"protein_coding","1",3412
"ENSG00000175793","SFN",62.77,"protein_coding","1",1308
"ENSG00000176022","B3GALT6",64.21,"protein_coding","1",2805
"ENSG00000176083","ZNF683",52.46,"protein_coding","1",6092
"ENSG00000176092","CRYBG2",52.62,"protein_coding","1",13974
"ENSG00000176378","PFN1P10",56.57,"processed_pseudogene","1",327
"ENSG00000177000","MTHFR",54.64,"protein_coding","1",37145
"ENSG00000177133","PRDM16-DT",61.79,"lncRNA","1",15868
"ENSG00000177553","C1orf167-AS1",57.26,"lncRNA","1",1868
"ENSG00000177674","AGTRAP",54.37,"protein_coding","1",10003
"ENSG00000177757","FAM87B",48.52,"lncRNA","1",1947
"ENSG00000178585","CTNNBIP1",51.39,"protein_coding","1",4627
"ENSG00000178821","TMEM52",67.4,"protein_coding","1",4375
"ENSG00000178828","RNF186",58.09,"protein_coding","1",1255
"ENSG00000179002","TAS1R2",49.67,"protein_coding","1",2542
"ENSG00000179023","KLHDC7A",57.76,"protein_coding","1",5145
"ENSG00000179051","RCC2",51.69,"protein_coding","1",5674
"ENSG00000179163","FUCA1",45.7,"protein_coding","1",2047
"ENSG00000179172","HNRNPCL1",46.13,"protein_coding","1",1108
"ENSG00000179403","VWA1",66.36,"protein_coding","1",7916
"ENSG00000179412","HNRNPCL4",48.64,"protein_coding","1",882
"ENSG00000179546","HTR1D",48.75,"protein_coding","1",2835
"ENSG00000179840","PIK3CD-AS1",55.29,"lncRNA","1",1823
"ENSG00000180098","TRNAU1AP",47.61,"protein_coding","1",8441
"ENSG00000180198","RCC1",50,"protein_coding","1",9910
"ENSG00000180758","GPR157",49.97,"protein_coding","1",5853
"ENSG00000181773","GPR3",58.06,"protein_coding","1",2137
"ENSG00000182330","PRAMEF8",49.88,"protein_coding","1",3990
"ENSG00000182749","PAQR7",51.15,"protein_coding","1",3297
"ENSG00000182873","PRKCZ-AS1",57.78,"lncRNA","1",1875
"ENSG00000183114","FAM43B",67.65,"protein_coding","1",2448
"ENSG00000183726","TMEM50A",41.71,"protein_coding","1",5521
"ENSG00000183888","SRARP",52.32,"protein_coding","1",3039
"ENSG00000184163","C1QTNF12",69.35,"protein_coding","1",3526
"ENSG00000184454","NCMAP",47.93,"protein_coding","1",8043
"ENSG00000184677","ZBTB40",42.31,"protein_coding","1",14348
"ENSG00000184908","CLCNKB",59.26,"protein_coding","1",3572
"ENSG00000185436","IFNLR1",47.38,"protein_coding","1",7120
"ENSG00000185519","FAM131C",57.98,"protein_coding","1",2795
"ENSG00000186092","OR4F5",32.06,"protein_coding","1",3672
"ENSG00000186301","MST1P2",60.99,"unprocessed_pseudogene","1",2291
"ENSG00000186501","TMEM222",51.87,"protein_coding","1",12603
"ENSG00000186510","CLCNKA",59.91,"protein_coding","1",6613
"ENSG00000186543","CROCCP5",61.89,"unprocessed_pseudogene","1",830
"ENSG00000186715","MST1L",50.44,"transcribed_unprocessed_pseudogene","1",9217
"ENSG00000186827","TNFRSF4",70.33,"protein_coding","1",3108
"ENSG00000186891","TNFRSF18",67.46,"protein_coding","1",2341
"ENSG00000187010","RHD",46.66,"protein_coding","1",8774
"ENSG00000187017","ESPN",60.15,"protein_coding","1",13285
"ENSG00000187144","SPATA21",50.37,"protein_coding","1",7562
"ENSG00000187545","PRAMEF10",47.85,"protein_coding","1",1525
"ENSG00000187583","PLEKHN1",62.65,"protein_coding","1",5203
"ENSG00000187608","ISG15",56.44,"protein_coding","1",1995
"ENSG00000187634","SAMD11",66.58,"protein_coding","1",11141
"ENSG00000187642","PERM1",67.76,"protein_coding","1",7457
"ENSG00000187730","GABRD",62.51,"protein_coding","1",18905
"ENSG00000187942","LDLRAD2",54.28,"protein_coding","1",5416
"ENSG00000187952","HS6ST1P1",67.1,"processed_pseudogene","1",1234
"ENSG00000187961","KLHL17",67.87,"protein_coding","1",6498
"ENSG00000187980","PLA2G2C",51.69,"protein_coding","1",4070
"ENSG00000188060","RAB42",58.17,"protein_coding","1",2807
"ENSG00000188157","AGRN",65.71,"protein_coding","1",16094
"ENSG00000188257","PLA2G2A",52.09,"protein_coding","1",5678
"ENSG00000188290","HES4",74.32,"protein_coding","1",3468
"ENSG00000188529","SRSF10",38.94,"protein_coding","1",27074
"ENSG00000188672","RHCE",46.8,"protein_coding","1",6222
"ENSG00000188782","CATSPER4",50.8,"protein_coding","1",3353
"ENSG00000188784","PLA2G2E",59.6,"protein_coding","1",785
"ENSG00000188807","TMEM201",59.34,"protein_coding","1",9943
"ENSG00000188822","CNR2",47.63,"protein_coding","1",5265
"ENSG00000188976","NOC2L",59.54,"protein_coding","1",9762
"ENSG00000188984","AADACL3",46.11,"protein_coding","1",7887
"ENSG00000189266","PNRC2",43.87,"protein_coding","1",5610
"ENSG00000189337","KAZN",45.46,"protein_coding","1",19921
"ENSG00000189339","SLC35E2B",53.57,"protein_coding","1",17319
"ENSG00000189409","MMP23B",70.33,"protein_coding","1",7026
"ENSG00000189410","SH2D5",61.39,"protein_coding","1",10854
"ENSG00000196581","AJAP1",52.4,"protein_coding","1",13517
"ENSG00000197241","SLC2A7",52.44,"protein_coding","1",1539
"ENSG00000197245","FAM110D",58.17,"protein_coding","1",2799
"ENSG00000197312","DDI2",42.42,"protein_coding","1",15600
"ENSG00000197530","MIB2",66.41,"protein_coding","1",26522
"ENSG00000197785","ATAD3A",59.87,"protein_coding","1",7701
"ENSG00000197880","MDS2",49.57,"lncRNA","1",2507
"ENSG00000197921","HES5",68.47,"protein_coding","1",1324
"ENSG00000197989","SNHG12",50.99,"lncRNA","1",14288
"ENSG00000198492","YTHDF2",43.57,"protein_coding","1",11131
"ENSG00000198744","MTCO3P12",48.26,"unprocessed_pseudogene","1",547
"ENSG00000198746","GPATCH3",50.12,"protein_coding","1",2882
"ENSG00000198793","MTOR",44.54,"protein_coding","1",14692
"ENSG00000198830","HMGN2",47.23,"protein_coding","1",9321
"ENSG00000198912","C1orf174",49.32,"protein_coding","1",6712
"ENSG00000198976","MIR429",57.83,"miRNA","1",83
"ENSG00000199347","RNU5E-1",40,"snRNA","1",120
"ENSG00000199562","RNU6-37P",45.79,"snRNA","1",107
"ENSG00000200087","SNORA73B",54.9,"snoRNA","1",204
"ENSG00000200403","RNU6-1099P",40.19,"snRNA","1",107
"ENSG00000200975","RNU1-7P",55.49,"snRNA","1",164
"ENSG00000201135","RNU6-777P",38.46,"snRNA","1",104
"ENSG00000201273","RNU6-776P",43.27,"snRNA","1",104
"ENSG00000201609","RNU4-28P",36.17,"snRNA","1",141
"ENSG00000201725","RNU6-304P",42.99,"snRNA","1",107
"ENSG00000201746","RNU6-828P",42.99,"snRNA","1",107
"ENSG00000201801","RNU5E-4P",33.33,"snRNA","1",120
"ENSG00000201919","RNU6-1022P",43.27,"snRNA","1",104
"ENSG00000202415","RN7SKP269",51.41,"misc_RNA","1",319
"ENSG00000204138","PHACTR4",42.87,"protein_coding","1",15639
"ENSG00000204160","ZDHHC18",51.6,"protein_coding","1",7165
"ENSG00000204178","MACO1",40.69,"protein_coding","1",8575
"ENSG00000204219","TCEA3",48.57,"protein_coding","1",4650
"ENSG00000204362","LINC02783",53.59,"lncRNA","1",5065
"ENSG00000204464","C1orf195",43.36,"lncRNA","1",559
"ENSG00000204478","PRAMEF20",47.5,"protein_coding","1",1597
"ENSG00000204479","PRAMEF17",50.17,"protein_coding","1",1578
"ENSG00000204480","PRAMEF19",51.52,"protein_coding","1",1440
"ENSG00000204481","PRAMEF14",46.52,"protein_coding","1",3496
"ENSG00000204501","PRAMEF15",48.15,"protein_coding","1",1865
"ENSG00000204505","PRAMEF9",48.13,"protein_coding","1",1863
"ENSG00000204510","PRAMEF7",50.06,"protein_coding","1",2576
"ENSG00000204518","AADACL4",47.24,"protein_coding","1",1575
"ENSG00000204624","DISP3",52.86,"protein_coding","1",7670
"ENSG00000204859","ZBTB48",57.77,"protein_coding","1",8624
"ENSG00000205090","TMEM240",66.8,"protein_coding","1",2578
"ENSG00000205116","TMEM88B",70.6,"protein_coding","1",492
"ENSG00000205231","TTLL10-AS1",61.03,"lncRNA","1",3532
"ENSG00000206652","RNU1-1",54.27,"snRNA","1",164
"ENSG00000206767","RNU6-949P",40.19,"snRNA","1",107
"ENSG00000206888","RNU6-48P",45.79,"snRNA","1",107
"ENSG00000206935","RNU6-514P",38.32,"snRNA","1",107
"ENSG00000207005","RNU1-2",54.27,"snRNA","1",164
"ENSG00000207056","RNU1-8P",52.12,"snRNA","1",165
"ENSG00000207095","RNU6-424P",36.19,"snRNA","1",105
"ENSG00000207237","RNU6-110P",42.31,"snRNA","1",104
"ENSG00000207389","RNU1-4",54.27,"snRNA","1",164
"ENSG00000207434","RNU6-1072P",45.79,"snRNA","1",107
"ENSG00000207451","RNU6-291P",40.19,"snRNA","1",107
"ENSG00000207511","RNU6-771P",45.79,"snRNA","1",107
"ENSG00000207513","RNU1-3",54.27,"snRNA","1",164
"ENSG00000207607","MIR200A",55.56,"miRNA","1",90
"ENSG00000207730","MIR200B",60,"miRNA","1",95
"ENSG00000207776","MIR551A",61.46,"miRNA","1",96
"ENSG00000211454","AKR7L",52.23,"polymorphic_pseudogene","1",4733
"ENSG00000214973","CHCHD3P3",50.78,"processed_pseudogene","1",640
"ENSG00000215520","RPS4XP4",46.79,"processed_pseudogene","1",763
"ENSG00000215695","RSC1A1",42.83,"protein_coding","1",1854
"ENSG00000215704","CELA2B",48.76,"protein_coding","1",2444
"ENSG00000215785","CFL1P6",53.05,"processed_pseudogene","1",494
"ENSG00000215788","TNFRSF25",59.87,"protein_coding","1",12355
"ENSG00000215790","SLC35E2A",52.17,"protein_coding","1",10940
"ENSG00000215906","LACTBL1",52.25,"protein_coding","1",2877
"ENSG00000215908","CROCCP2",52.04,"transcribed_unprocessed_pseudogene","1",8638
"ENSG00000215909","BRWD1P1",53.75,"processed_pseudogene","1",371
"ENSG00000215910","C1orf167",55.19,"protein_coding","1",10398
"ENSG00000215912","TTC34",59.48,"protein_coding","1",9505
"ENSG00000215914","MMP23A",72.13,"unprocessed_pseudogene","1",1017
"ENSG00000215915","ATAD3C",56.97,"protein_coding","1",4688
"ENSG00000218510","LINC00339",47.63,"lncRNA","1",9216
"ENSG00000219073","CELA3B",49.6,"protein_coding","1",2326
"ENSG00000219481","NBPF1",43.99,"protein_coding","1",17464
"ENSG00000221216","RNU6ATAC27P",47.06,"snRNA","1",119
